"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCA_943591025.1","Dolloidraco longedorsalis",NA,202058,"Actinopteri","Perciformes","Artedidraconidae","Dolloidraco","2022-07-13",NA,4508
"GCF_030265055.1","Doryrhamphus excisus","bluestripe pipefish",161450,"Actinopteri","Syngnathiformes","Syngnathidae","Doryrhamphus","2023-06-30","Pacbio HiFi; Phase Genomics Hi-C",18835985
"GCA_013398915.1","Dromas ardeola",NA,458190,"Aves","Charadriiformes","Dromadidae","Dromas","2020-07-10","Illumina HiSeq",40991
"GCA_030035585.1","Dugong dugon","dugong",29137,"Mammalia","Sirenia","Dugongidae","Dugong","2023-05-18","PacBio Sequel II HiFi; Dovetail OmniC",57632671
"GCF_027744805.1","Dunckerocampus dactyliophorus","ringed pipefish",161453,"Actinopteri","Syngnathiformes","Syngnathidae","Doryrhamphus","2023-01-13","Pacbio HiFi; Phase Genomics Hi-C",26519775
"GCF_900963305.1","Echeneis naucrates","live sharksucker",173247,"Actinopteri","Carangiformes","Echeneidae","Echeneis","2019-04-11",NA,12371513
"GCA_900963305.2","Echeneis naucrates","live sharksucker",173247,"Actinopteri","Carangiformes","Echeneidae","Echeneis","2021-04-24",NA,12371513
"GCF_000687185.1","Egretta garzetta","little egret",188379,"Aves","Ciconiiformes","Ardeidae","Egretta","2014-05-09","Illumina HiSeq",29019
"GCA_951216825.1","Electrona antarctica",NA,206093,"Actinopteri","Myctophiformes","Myctophidae","Electrona","2023-05-11","PacBio,Arima2",1002537
"GCA_025505465.1","Eleginops maclovinus","Patagonian blennie",56733,"Actinopteri","Perciformes","Eleginopsidae","Eleginops","2022-09-30","Illumina HiSeq 2500; PE250",6610
"GCA_025629765.1","Eleginus gracilis","saffron cod",8047,"Actinopteri","Gadiformes","Gadidae","Eleginus","2022-10-08","Illumina",2114
"GCA_014490765.1","Eleutheronema tetradactylum","Indian salmon",210139,"Actinopteri","Carangaria incertae sedis","Polynemidae","Eleutheronema","2020-09-08","Illumina",30813
"GCA_022577435.1","Embiotoca jacksoni","black perch",100190,"Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Embiotoca","2022-03-15","PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq",6500778
"GCA_004319985.1","Emydocephalus ijimae",NA,34996,NA,"Squamata","Elapidae","Emydocephalus","2019-01-09","Illumina HiSeq X",18545
"GCA_027122795.1","Enchelyopus cimbrius","fourbeard rockling",81640,"Actinopteri","Gadiformes","Lotidae","Enchelyopus","2022-12-20","Illumina",2536
"GCA_901007785.1","Entelurus aequoreus","snake pipefish",161455,"Actinopteri","Syngnathiformes","Syngnathidae","Entelurus","2020-04-15",NA,3393
"GCA_014621495.2","Entosphenus tridentatus","Pacific lamprey",245074,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","2020-11-05","Illumina NovaSeq",19580
"GCA_900536245.1","Epinephelus coioides","orange-spotted grouper",94232,"Actinopteri","Perciformes","Serranidae","Epinephelus","2019-12-05",NA,2494056
"GCA_026686955.1","Epinephelus cyanopodus","specked blue grouper",308565,"Actinopteri","Perciformes","Serranidae","Epinephelus","2022-12-06","PacBio Sequel; Hi-C",5850290
"GCF_011397635.1","Epinephelus fuscoguttatus","brown-marbled grouper",293821,"Actinopteri","Perciformes","Serranidae","Epinephelus","2020-02-20","Oxford Nanopore sequencing technology",13857438
"GCF_005281545.1","Epinephelus lanceolatus","giant grouper",310571,"Actinopteri","Perciformes","Serranidae","Epinephelus","2019-05-13","Illumina HiSeq; BGISEQ-500",159800
"GCF_006386435.1","Epinephelus moara","kelp grouper",300413,"Actinopteri","Perciformes","Serranidae","Epinephelus","2019-06-26","BGISEQ500",76174
"GCA_024346535.1","Eptatretus burgeri","inshore hagfish",7764,"Myxini","Myxiniformes","Myxinidae","Eptatretus","2022-07-09","Illumina HiSeq 1500",16240
"GCA_030012505.1","Eretmochelys imbricata","hawksbill sea turtle",27787,NA,"Testudines","Cheloniidae","Eretmochelys","2023-05-15","PacBio Sequel",82034986
"GCA_028021215.1","Eschrichtius robustus","grey whale",9764,"Mammalia","Cetartiodactyla","Eschrichtiidae","Eschrichtius","2023-01-31","PacBio Sequel II HiFi; 3D-DNA Hi-C",39209000
"GCA_028564815.1","Eubalaena glacialis","North Atlantic right whale",27606,"Mammalia","Cetartiodactyla","Balaenidae","Eubalaena","2023-02-09","PacBio Sequel II HiFi; Bionano DLS; 3D DNA Hi-C",37467374
"GCA_004363455.1","Eubalaena japonica","North Pacific right whale",302098,"Mammalia","Cetartiodactyla","Balaenidae","Eubalaena","2019-03-22","Illumina HiSeq",34866
"GCA_026437355.1","Eucyclogobius newberryi","tidewater goby",166745,"Actinopteri","Gobiiformes","Gobiidae","Eucyclogobius","2022-11-28","PacBio Sequel II; PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq",1700290
"GCA_010085355.1","Eudyptes chrysocome","Rockhopper penguin",79626,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","Illumina HiSeq",80552
"GCA_010084205.1","Eudyptes chrysolophus","Macaroni penguin",79627,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","BGISEQ",215030
"GCA_010085365.1","Eudyptes filholi","Southern rockhopper penguin",1419345,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","Illumina HiSeq",86112
"GCA_010082375.1","Eudyptes moseleyi","Northern rockhopper penguin",2495534,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","Illumina HiSeq",42318
"GCA_010080425.1","Eudyptes schlegeli","Royal penguin",57240,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","BGISEQ",42596
"GCA_010078445.1","Eudyptes sclateri","Erect-crested penguin",92688,"Aves","Sphenisciformes","Spheniscidae","Eudyptes","2020-01-31","Illumina HiSeq",83178
"GCA_010080465.1","Eudyptula albosignata","White-flippered penguin",345258,"Aves","Sphenisciformes","Spheniscidae","Eudyptula","2020-01-31","BGISEQ",104210
"GCA_010080355.1","Eudyptula minor","Little blue penguin",37083,"Aves","Sphenisciformes","Spheniscidae","Eudyptula","2020-01-31","BGISEQ",95403
"GCA_010078495.1","Eudyptula novaehollandiae","Australian little penguin",2052820,"Aves","Sphenisciformes","Spheniscidae","Eudyptula","2020-01-31","BGISEQ",134160
"GCF_004028035.1","Eumetopias jubatus","Steller sea lion",34886,"Mammalia","Carnivora","Otariidae","Eumetopias","2019-01-15","Illumina HiSeq",242372
"GCA_030068295.1","Euristhmus nudiceps","naked-headed catfish",2578379,"Actinopteri","Siluriformes","Plotosidae","Euristhmus","2023-05-24","Illumina",3593
"GCA_029490765.1","Euthynnus affinis","eastern little tuna",8227,"Actinopteri","Scombriformes","Scombridae","Euthynnus","2023-04-06","Illumina NovaSeq",11935974
"GCA_901007705.1","Fistularia tabacaria","cornetfish",1046056,"Actinopteri","Syngnathiformes","Fistulariidae","Fistularia","2020-04-15",NA,17669
"GCA_029814525.1","Fowleria aurita","crosseyed cardinalfish",512322,"Actinopteri","Kurtiformes","Apogonidae","Fowleria","2023-04-18","Illumina",5084
"GCA_029814645.1","Fowleria isostigma",NA,316378,"Actinopteri","Kurtiformes","Apogonidae","Fowleria","2023-04-18","Illumina",3540
"GCA_947846985.1","Fratercula arctica","Atlantic puffin",28701,"Aves","Charadriiformes","Alcidae","Fratercula","2023-02-03","PacBio,10xGenomics,HiC",16421795
"GCA_014363165.1","Fratercula cirrhata",NA,43311,"Aves","Charadriiformes","Alcidae","Lunda","2020-08-22","Illumina Novaseq6000",19680
"GCA_013389945.1","Fregata magnificens",NA,37042,"Aves","Pelecaniformes","Fregatidae","Fregata","2020-07-06","Illumina HiSeq",35511
"GCA_013399335.1","Fregetta grallaria","white-bellied storm-petrel",79628,"Aves","Procellariiformes","Hydrobatidae","Fregetta","2020-07-10","Illumina HiSeq",15821
"GCF_000690835.1","Fulmarus glacialis","Northern fulmar",30455,"Aves","Procellariiformes","Procellariidae","Fulmarus","2014-05-13","Illumina HiSeq",25926
"GCF_011125445.2","Fundulus heteroclitus","mummichog",8078,"Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","2020-08-13","PacBio Sequel",587965
"GCA_900302595.1","Gadiculus argenteus","silvery cod",185737,"Actinopteri","Gadiformes","Gadidae","Gadiculus","2018-03-18",NA,3379
"GCF_026213295.1","Gadus chalcogrammus","walleye pollock",1042646,"Actinopteri","Gadiformes","Gadidae","Theragra","2022-11-18","Illumina NovaSeq",358862
"GCA_025728055.1","Gadus macrocephalus","Pacific cod",80720,"Actinopteri","Gadiformes","Gadidae","Gadus","2022-10-17","Illumina",3434
"GCF_902167405.1","Gadus morhua","Atlantic cod",8049,"Actinopteri","Gadiformes","Gadidae","Gadus","2019-07-16",NA,1015663
"GCA_027123715.1","Gaidropsarus macrophthalmus","bigeye rockling",1476912,"Actinopteri","Gadiformes","Lotidae","Gaidropsarus","2022-12-20","Illumina",2798
"GCA_025399955.1","Galeichthys feliceps","white baggar",593565,"Actinopteri","Siluriformes","Ariidae","Galeichthys","2022-09-25","Illumina",2348
"GCA_025630025.2","Gallinago media","great snipe",114734,"Aves","Charadriiformes","Scolopacidae","Gallinago","2023-05-25","Illumina",3241
"GCA_025728075.1","Gallinago paraguaiae",NA,555258,"Aves","Charadriiformes","Scolopacidae","Gallinago","2022-10-17","Illumina",15517
"GCF_016920845.1","Gasterosteus aculeatus aculeatus","three-spined stickleback",481459,"Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","2021-02-23","PacBio",485752
"GCA_014132575.2","Gasterosteus nipponicus",NA,1778380,"Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","2020-07-29","Nanopore MinION; Illumina HiSeq 4000",544634
"GCF_000690875.1","Gavia stellata","red-throated loon",37040,"Aves","Gaviiformes","Gaviidae","Gavia","2014-05-13","Illumina HiSeq",24321
"GCA_027576375.1","Genidens genidens","Guri sea catfish",591326,"Actinopteri","Siluriformes","Ariidae","Genidens","2023-01-06","Illumina",2280
"GCA_027123975.1","Genidens machadoi",NA,591327,"Actinopteri","Siluriformes","Ariidae","Genidens","2022-12-20","Illumina",2621
"GCA_026546755.1","Genidens planifrons",NA,591328,"Actinopteri","Siluriformes","Ariidae","Genidens","2022-11-30","Illumina",2042
"GCA_900660455.1","Gephyroberyx darwinii","Darwin's slimehead",334984,"Actinopteri","Trachichthyiformes","Trachichthyidae","Gephyroberyx","2019-06-18",NA,8514
"GCA_024137785.1","Ginglymostoma cirratum","nurse shark",7801,"Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","2022-06-30","Illumina NovaSeq",55429
"GCA_013401295.1","Glareola pratincola",NA,43316,"Aves","Charadriiformes","Glareolidae","Glareola","2020-07-10","Illumina HiSeq",39898
"GCF_006547405.1","Globicephala melas","long-finned pilot whale",9731,"Mammalia","Cetartiodactyla","Delphinidae","Globicephala","2019-07-01","Illumina HiSeq",332801
"GCA_029874695.1","Gobio lozanoi",NA,1483034,"Actinopteri","Gobiiformes","Gobiidae","Gobius","2023-04-26","Illumina NovaSeq",1584
"GCA_943591055.1","Gobionotothen gibberifrons","humped rockcod",36202,"Actinopteri","Perciformes","Nototheniidae","Gobionotothen","2022-06-15",NA,15896
"GCA_951799975.1","Gobius niger","black goby",85417,"Actinopteri","Gobiiformes","Gobiidae","Gobius","2023-05-27","PacBio,Arima2",3365000
"GCF_900634775.1","Gouania willdenowi","blunt-snouted clingfish",441366,"Actinopteri","Gobiesociformes","Gobiesocidae","Gouania","2019-02-06",NA,1838341
"GCA_900634775.2","Gouania willdenowi","blunt-snouted clingfish",441366,"Actinopteri","Gobiesociformes","Gobiesocidae","Gouania","2020-07-31",NA,1838341
"GCA_028646425.1","Grampus griseus","Risso's dolphin",83653,"Mammalia","Cetartiodactyla","Delphinidae","Grampus","2023-02-16","Illumina NovaSeq 6000",62041
"GCA_900312595.1","Guentherus altivela","highfin tadpole fish",1263181,"Actinopteri","Ateleopodiformes","Ateleopodidae","Guentherus","2018-03-19",NA,2928
"GCA_029814585.1","Gymnapogon annona",NA,2943265,"Actinopteri","Kurtiformes","Apogonidae","Gymnapogon","2023-04-18","Illumina",3876
"GCF_902827175.1","Gymnodraco acuticeps",NA,8218,"Actinopteri","Perciformes","Bathydraconidae","Gymnodraco","2020-04-15",NA,534678
"GCA_029692085.1","Gymnothorax javanicus","giant moray",473457,"Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","2023-04-12","Oxford Nanopore PromethION; Oxford Nanopore GridION; Illumina HiSeq",24488841
"GCA_029721435.1","Gymnothorax reevesii","Reeve's moray",473459,"Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","2023-04-18","PacBio Sequel",53379876
"GCF_000691405.1","Haliaeetus albicilla","white-tailed eagle",8969,"Aves","Falconiformes","Accipitridae","Haliaeetus","2014-05-15","Illumina HiSeq",25143
"GCF_000737465.1","Haliaeetus leucocephalus","bald eagle",52644,"Aves","Falconiformes","Accipitridae","Haliaeetus","2014-08-04","Illumina",105493
"GCA_025740775.1","Haliaeetus leucogaster",NA,52645,"Aves","Falconiformes","Accipitridae","Haliaeetus","2022-10-18","Illumina",31650
"GCF_012393455.1","Halichoerus grypus","gray seal",9711,"Mammalia","Carnivora","Phocidae","Halichoerus","2020-04-15","Illumina NextSeq; Oxford Nanopore MinION",1011981
"GCA_902827135.1","Harpagifer antarcticus","Antarctic spiny plunderfish",43256,"Actinopteri","Perciformes","Harpagiferidae","Harpagifer","2020-04-15",NA,1048452
"GCA_916700675.1","Helicolenus avius",NA,394686,"Actinopteri","Perciformes","Sebastidae","Helicolenus","2021-10-06",NA,7951
"GCA_916700815.1","Helicolenus hilgendorfi",NA,143344,"Actinopteri","Perciformes","Sebastidae","Helicolenus","2021-11-12",NA,9468
"GCA_027575995.1","Hemiarius dioctes","warrior catfish",591320,"Actinopteri","Siluriformes","Ariidae","Hemiarius","2023-01-06","Illumina",2335
"GCA_027576015.1","Hemiarius stormii","armoured sea catfish",591303,"Actinopteri","Siluriformes","Ariidae","Hemiarius","2023-01-06","Illumina",2576
"GCA_020745735.1","Hemiscyllium ocellatum","epaulette shark",170820,"Elasmobranchii","Orectolobiformes","Hemiscylliidae","Hemiscyllium","2021-11-05","PacBio Sequel II CLR; Illumina NovaSeq; Bionano Genomics DLS; Arima Genomics Hi-C v1",8845575
"GCA_029783685.1","Heniochus monoceros","masked bannerfish",466131,"Actinopteri","Acanthuriformes","Chaetodontidae","Heniochus","2023-04-17","Illumina",3773
"GCA_003993805.1","Himantopus leucocephalus",NA,507594,"Aves","Charadriiformes","Recurvirostridae","Himantopus","2019-01-04","Illumina HiSeq",36551
"GCA_018466805.1","Hippocampus abdominalis","big-belly seahorse",109274,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2021-05-25","PacBio Sequel",8410403
"GCA_025770055.1","Hippocampus barbouri","Barbour's seahorse",109276,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2022-10-20","Illumina",18901
"GCF_001891065.2","Hippocampus comes","tiger tail seahorse",109280,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2016-12-08","Illumina HiSeq 2000",39720
"GCA_025802095.1","Hippocampus guttulatus","long-snouted seahorse",109282,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2022-10-23","Illumina",14905
"GCA_901007745.1","Hippocampus kuda","spotted seahorse",103715,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2020-04-15",NA,10411
"GCA_026261675.1","Hippocampus mohnikei","Japanese seahorse",109287,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2022-11-21","Oxford Nanopore MinION",18090544
"GCA_901007805.1","Hippocampus whitei","White's seahorse",109292,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2020-04-15",NA,10333
"GCF_025434085.1","Hippocampus zosterae","dwarf seahorse",109293,"Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","2022-09-29","Pacbio Hi-Fi; Phase Genomics HiC",22513697
"GCF_009819705.1","Hippoglossus hippoglossus","Atlantic halibut",8267,"Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","2019-12-31","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",7020318
"GCF_022539355.2","Hippoglossus stenolepis","Pacific halibut",195615,"Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","2022-03-10","Oxford Nanopore GridION; Oxford Nanopore PromethION; Illumina NovaSeq",4638087
"GCA_018398805.1","Hirundichthys speculiger","mirrorwing flyingfish",938393,"Actinopteri","Beloniformes","Exocoetidae","Hirundichthys","2021-05-19","Illumina; PacBio",1092820
"GCA_943590885.1","Histiodraco velifer",NA,36208,"Actinopteri","Perciformes","Artedidraconidae","Histiodraco","2022-06-15",NA,16240
"GCA_025331565.1","Holacanthus passer","king angelfish",272788,"Actinopteri","Acanthuriformes","Pomacanthidae","Holacanthus","2022-09-20","Illumina HiSeq; Oxford Nanopore MinION",5708022
"GCA_900302615.1","Holocentrus rufus","longspine squirrelfish",722565,"Actinopteri","Holocentriformes","Holocentridae","Holocentrus","2018-03-19",NA,9243
"GCA_900660355.1","Hoplostethus atlanticus","orange roughy",96778,"Actinopteri","Trachichthyiformes","Trachichthyidae","Hoplostethus","2019-06-18",NA,7812
"GCA_916700935.1","Hozukius emblemarius",NA,201712,"Actinopteri","Perciformes","Sebastidae","Hozukius","2021-10-09",NA,23430
"GCA_916700995.1","Hozukius guyotensis",NA,2802376,"Actinopteri","Perciformes","Sebastidae","Hozukius","2021-10-09",NA,27170
"GCA_012026655.1","Hydrolagus affinis","small-eyed rabbitfish",1459831,"Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","2020-04-03","Illumina",15857
"GCA_019472885.1","Hydrophis curtus","Shaw's sea snake",355685,NA,"Squamata","Elapidae","Lapemis","2021-08-09","PacBio Sequel; Illumina HiSeq",9704100
"GCA_019473425.1","Hydrophis cyanocinctus","Asian annulated sea snake",8686,NA,"Squamata","Elapidae","Hydrophis","2021-08-09","PacBio Sequel; Illumina HiSeq",18985681
"GCA_004320005.1","Hydrophis melanocephalus",NA,34990,NA,"Squamata","Elapidae","Hydrophis","2019-02-13","Illumina HiSeq 2500; Illumina HiSeq 1500; Illumina MiSeq",7411
"GCA_030144785.1","Hypanus sabinus","Atlantic stingray",79690,"Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis","2023-06-05","PacBio Sequel II HiFi; Arima Hi-C v2",4909400
"GCA_949752795.1","Hyperoodon ampullatus","northern bottlenose whale",48744,"Mammalia","Cetartiodactyla","Ziphiidae","Hyperoodon","2023-04-08","PacBio,Arima2",3126546
"GCA_949357725.1","Hyperoplus immaculatus","greater sand-eel",1484357,"Actinopteri","Perciformes","Ammodytidae","Hyperoplus","2023-04-08","PacBio,Arima2",1486508
"GCA_026929865.2","Hyperoplus lanceolatus","great sand-eel",508657,"Actinopteri","Perciformes","Ammodytidae","Hyperoplus","2023-01-31","Oxford Nanopore MinION",31308663
"GCA_018346875.1","Hypomesus nipponensis","Japanese smelt",182223,"Actinopteri","Osmeriformes","Osmeridae","Hypomesus","2021-05-12","Illumina NovaSeq; PacBio Sequel",2124
"GCA_025802035.1","Hypoplectrus aberrans","yellowbelly hamlet",146816,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2022-10-23","Illumina",8694
"GCA_025762755.1","Hypoplectrus chlorurus","yellowtail hamlet",146815,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2022-10-19","Illumina",8830
"GCA_028566275.1","Hypoplectrus guttavarius","shy hamlet",146814,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2023-02-09","Illumina",9386
"GCA_025762485.1","Hypoplectrus indigo","indigo hamlet",222834,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2022-10-19","Illumina",11143
"GCA_028566415.1","Hypoplectrus nigricans","black hamlet",146811,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2023-02-09","Illumina",8307
"GCA_028566105.1","Hypoplectrus providencianus",NA,2884820,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2023-02-09","Illumina",8212
"GCA_900610375.1","Hypoplectrus puella","barred hamlet",146810,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2018-12-12",NA,22581
"GCA_028566055.1","Hypoplectrus randallorum","tan hamlet",2676245,"Actinopteri","Perciformes","Serranidae","Hypoplectrus","2023-02-09","Illumina",16708
"GCA_016859345.1","Istiophorus platypterus","Indo-Pacific sailfish",13575,"Actinopteri","Carangiformes","Istiophoridae","Istiophorus","2021-02-12","Oxford Nanopore GridION; Illumina HiSeq; Illumina",11851605
"GCA_026770705.1","Isurus oxyrinchus","shortfin mako shark",57983,"Elasmobranchii","Lamniformes","Lamnidae","Isurus","2022-12-09","PacBio Sequel",4177150
"GCA_029224185.1","Karalla daura","goldstripe ponyfish",334402,"Actinopteri","Acanthuriformes","Leiognathidae","Leiognathus","2023-03-16","PacBio",1950773
"GCA_026419965.1","Kogia breviceps","pygmy sperm whale",27615,"Mammalia","Cetartiodactyla","Kogiidae","Kogia","2022-11-27",NA,42780423
"GCF_900080235.1","Labrus bergylta","ballan wrasse",56723,"Actinopteri","Eupercaria incertae sedis","Labridae","Labrus","2016-05-03",NA,703847
"GCA_900303225.1","Laemonema laureysi",NA,1784819,"Actinopteri","Gadiformes","Moridae","Laemonema","2018-03-18",NA,3431
"GCA_949774975.1","Lagenorhynchus albirostris","white-beaked dolphin",27610,"Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","2023-04-08","PacBio,Arima2",3398034
"GCF_003676395.1","Lagenorhynchus obliquidens","Pacific white-sided dolphin",90247,"Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","2018-10-23","Illumina HiSeq",255779
"GCA_911728415.1","Lagocephalus sceleratus","silver-cheeked toadfish",229057,"Actinopteri","Tetraodontiformes","Tetraodontidae","Gastrophysus","2021-11-19",NA,11300158
"GCA_030220065.1","Lampetra fluviatilis","European river lamprey",7748,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","2023-06-07","Illumina NovaSeq",2371
"GCA_900302545.1","Lampris guttatus","North Atlantic opah",81370,"Actinopteri","Lampriformes","Lampridae","Lampris","2018-03-30",NA,4051
"GCF_029633865.1","Lampris incognitus","smalleye Pacific opah",2546036,"Actinopteri","Lampriformes","Lampridae","Lampris","2023-04-13","PacBio Sequel II HiFi; Arima Hi-C v2",917127
"GCA_022114975.2","Lampris megalopsis","bigeye Pacific opah",2546035,"Actinopteri","Lampriformes","Lampridae","Lampris","2022-11-16","PacBio",2460786
"GCA_900312555.1","Lamprogrammus exutus",NA,1592065,"Actinopteri","Ophidiiformes","Ophidiidae","Lamprogrammus","2018-03-20",NA,4213
"GCF_000972845.2","Larimichthys crocea","large yellow croaker",215358,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Larimichthys","2018-11-27","Illumina HiSeq",277487
"GCA_018985215.1","Larimichthys polyactis","yellow croaker",334908,"Actinopteri","Eupercaria incertae sedis","Sciaenidae","Larimichthys","2021-06-21","Illumina; Pacbio",1208045
"GCA_028571125.1","Larus argentatus","herring gull",35669,"Aves","Charadriiformes","Laridae","Larus","2023-02-09","Illumina",28599
"GCA_013400295.1","Larus smithsonianus","American herring gull",243888,"Aves","Charadriiformes","Laridae","Larus","2020-07-10","Illumina HiSeq",59826
"GCA_004023545.1","Lateolabrax maculatus","spotted sea bass",315492,"Actinopteri","Acropomatiformes","Lateolabracidae","Lateolabrax","2019-01-15","Illumina HiSeq; BGI-Seq 500",42653
"GCF_001640805.2","Lates calcarifer","barramundi perch",8187,"Actinopteri","Carangaria incertae sedis","Latidae","Lates","2022-08-01","Illumina HiSeq; PacBio",1379868
"GCA_015471245.1","Laticauda colubrina","yellow-lipped sea krait",8628,NA,"Squamata","Elapidae","Laticauda","2020-11-04","Illumina HiSeq X",38278
"GCA_004320025.1","Laticauda laticaudata","blue-ringed sea krait",8630,NA,"Squamata","Elapidae","Laticauda","2019-01-09","Illumina HiSeq 2500; PacBio RS II",35581
"GCF_000225785.1","Latimeria chalumnae","coelacanth",7897,"Coelacanthi","Coelacanthiformes","Latimeriidae","Latimeria","2011-09-12","Illumina HiSeq",12671
"GCA_943594155.1","Lepidonotothen larseni","painted notie",271505,"Actinopteri","Perciformes","Nototheniidae","Lepidonotothen","2022-07-13",NA,2280
"GCA_943593335.1","Lepidonotothen squamifrons","grey rockcod",101496,"Actinopteri","Perciformes","Nototheniidae","Lepidonotothen","2022-07-13",NA,4447
"GCF_000349705.1","Leptonychotes weddellii","Weddell seal",9713,"Mammalia","Carnivora","Phocidae","Leptonychotes","2013-03-29","Illumina HiSeq",23664
"GCA_900303255.1","Lesueurigobius sanzi","Sanzo's goby",1365564,"Actinopteri","Gobiiformes","Gobiidae","Lesueurigobius","2018-03-21",NA,6729
"GCA_018977245.1","Lethenteron camtschaticum","Arctic lamprey",980415,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron","2021-06-21","PacBio RSII; PacBio Sequel",1601692
"GCF_028641065.1","Leucoraja erinacea","little skate",7782,"Elasmobranchii","Rajiformes","Rajidae","Leucoraja","2023-02-22","Illumina; PacBio Sequel",5310386
"GCA_028565335.1","Limnodromus scolopaceus",NA,161678,"Aves","Charadriiformes","Scolopacidae","Limnodromus","2023-02-09","Illumina",23624
"GCA_943590975.1","Lindbergichthys nudifrons","yellowfin notie",83203,"Actinopteri","Perciformes","Nototheniidae","Lepidonotothen","2022-06-15",NA,21363
"GCA_006348945.1","Liparis tanakae","Tanaka's snailfish",230148,"Actinopteri","Perciformes","Liparidae","Liparis","2019-06-14","Illumina HiSeq",9903
"GCF_010015895.1","Lontra canadensis","Northern American river otter",76717,"Mammalia","Carnivora","Mustelidae","Lontra","2020-01-27","Illumina HiSeq",691969
"GCA_009660295.1","Lophius piscatorius","angler",8074,"Actinopteri","Lophiiformes","Lophiidae","Lophius","2019-11-13","Illumina HiSeq",104538
"GCA_027495735.1","Lutjanus campechanus","northern red snapper",40505,"Actinopteri","Eupercaria incertae sedis","Lutjanidae","Lutjanus","2022-12-29","Illumina HiSeq; PacBio",15631
"GCA_020091685.1","Lutjanus erythropterus","crimson snapper",211835,"Actinopteri","Eupercaria incertae sedis","Lutjanidae","Lutjanus","2021-09-23","BGISEQ",2781023
"GCF_902655055.1","Lutra lutra","Eurasian river otter",9657,"Mammalia","Carnivora","Mustelidae","Lutra","2020-07-31",NA,30403456
"GCA_028022725.1","Lycodopsis pacificus","blackbelly eelpout",1772091,"Actinopteri","Perciformes","Zoarcidae","Lycodopsis","2023-01-31","PacBio Sequel II HiFi; Arima Hi-C v2",4715471
"GCA_011763505.2","Lythrypnus dalli","bluebanded goby",314003,"Actinopteri","Gobiiformes","Gobiidae","Lythrypnus","2023-02-16","Illumina",1826
"GCA_901007825.1","Macroramphosus scolopax","longspine snipefish",206124,"Actinopteri","Syngnathiformes","Centriscidae","Macroramphosus","2020-04-15",NA,13365
"GCA_900312585.1","Malacocephalus occidentalis","western softhead grenadier",630739,"Actinopteri","Gadiformes","Macrouridae","Malacocephalus","2018-03-18",NA,3697
"GCA_903064625.1","Mallotus villosus","capelin",30960,"Actinopteri","Osmeriformes","Osmeridae","Mallotus","2020-05-18",NA,229616
"GCA_029822895.1","Maxillicosta whitleyi",NA,274691,"Actinopteri","Perciformes","Neosebastidae","Maxillicosta","2023-04-18","Illumina",8016
